id,date,bedrooms,sqft_lot,price,level
3421079032,2015-02-17,1,43377,75000.0,High Standard
40000362,2014-05-06,2,16344,78000.0,High Standard
8658300340,2014-05-23,1,5050,80000.0,High Standard
3028200080,2015-03-24,2,9975,81000.0,High Standard
3883800011,2014-11-05,3,10426,82000.0,High Standard
1623049041,2014-05-08,2,22334,82500.0,High Standard
7999600180,2014-05-29,2,8580,83000.0,High Standard
1523049188,2015-04-30,2,20130,84000.0,High Standard
1322049150,2015-03-05,2,9753,85000.0,High Standard
2422049104,2014-09-15,2,9000,85000.0,High Standard
1788900230,2014-07-22,3,9480,86500.0,High Standard
9320900420,2014-10-14,3,4750,89000.0,High Standard
1721801591,2015-02-19,1,4080,89950.0,High Standard
2114700500,2015-04-18,1,4120,90000.0,High Standard
2734100835,2015-03-03,1,4000,90000.0,High Standard
1049010620,2014-05-13,2,2640,90000.0,High Standard
4239400300,2014-11-29,3,2490,90000.0,High Standard
1423049019,2014-05-23,2,7500,90000.0,High Standard
795000765,2014-06-16,2,5500,92000.0,High Standard
2724200705,2014-12-12,2,8550,95000.0,High Standard
6929602721,2015-04-08,2,7000,95000.0,High Standard
7335400215,2015-05-05,1,5746,95000.0,High Standard
6198400218,2014-09-19,2,20450,95000.0,High Standard
1788800630,2014-10-29,3,12091,96500.0,High Standard
5128000010,2015-01-05,2,8236,99000.0,High Standard
3751600030,2014-07-17,2,17334,100000.0,High Standard
6146600170,2014-07-03,2,5240,100000.0,High Standard
7224000980,2014-06-10,4,2685,100000.0,High Standard
8856000545,2014-05-07,2,22000,100000.0,High Standard
1900000195,2014-06-30,2,7623,100000.0,High Standard
7813200115,2014-09-04,2,6426,100000.0,High Standard
123039604,2014-07-01,2,4320,102500.0,High Standard
723049326,2014-12-08,2,8254,104950.0,High Standard
1788800610,2014-09-02,3,8400,105000.0,High Standard
4311700120,2015-03-17,3,18109,105000.0,High Standard
2023049218,2014-07-16,2,7740,105500.0,High Standard
7211402105,2014-11-26,1,5700,106000.0,High Standard
7899800045,2014-08-28,3,5120,107000.0,High Standard
7899800450,2014-08-28,2,4720,107000.0,High Standard
7129800036,2015-01-14,2,6900,109000.0,High Standard
9200000050,2014-09-18,2,10625,109500.0,High Standard
5111400086,2014-05-12,3,53143,110000.0,High Standard
3361401011,2015-02-19,2,6120,110000.0,High Standard
8018600880,2014-06-11,2,15000,110000.0,High Standard
4337000160,2015-01-27,2,7590,110000.0,High Standard
2853600155,2014-09-15,1,10280,110000.0,High Standard
1278000210,2015-03-11,2,4524,110000.0,High Standard
5381000048,2015-04-27,2,8250,110000.0,High Standard
3806000005,2014-10-30,2,4746,110000.0,High Standard
2123049114,2014-05-19,2,8064,110700.0,High Standard
8698100170,2015-02-11,2,6000,111300.0,High Standard
2648500030,2014-07-25,1,3230,112000.0,High Standard
7889600230,2014-10-17,2,5200,114000.0,High Standard
892000025,2014-07-10,2,6250,114975.0,High Standard
8151600101,2015-01-16,2,7252,115000.0,High Standard
4031000520,2014-07-08,1,9812,115000.0,High Standard
795000620,2014-09-24,3,6250,115000.0,High Standard
104500730,2015-02-24,3,7942,115000.0,High Standard
3356403820,2014-12-05,2,16524,115000.0,High Standard
623049232,2014-07-15,2,7980,115000.0,High Standard
7889601320,2014-07-25,2,6000,115000.0,High Standard
1545807810,2014-10-21,1,7957,118000.0,High Standard
1446403850,2014-09-16,2,7153,118125.0,High Standard
3821200050,2014-06-04,3,11000,119500.0,High Standard
3352402250,2014-10-21,2,3180,119900.0,High Standard
3122069029,2014-06-19,2,39964,120000.0,High Standard
7893203565,2014-10-27,3,7500,120000.0,High Standard
2621600015,2015-01-21,3,8924,120000.0,High Standard
7972000010,2014-05-20,3,9628,120750.0,High Standard
8151600470,2014-08-04,2,8384,121800.0,High Standard
7454000145,2015-03-06,2,6840,122000.0,High Standard
1917300025,2015-01-27,2,6000,122000.0,High Standard
1446401460,2015-04-22,2,5280,122000.0,High Standard
4438000165,2015-04-20,2,6728,122000.0,High Standard
1446403617,2014-07-02,2,6600,123000.0,High Standard
1950900245,2014-12-26,3,8050,123300.0,High Standard
3598600049,2014-10-03,1,7203,124000.0,High Standard
795000620,2014-12-15,3,6250,124000.0,High Standard
3353402400,2015-03-26,2,6480,124500.0,High Standard
6600410170,2014-05-28,3,15600,124740.0,High Standard
1450100390,2014-09-05,3,7314,125000.0,High Standard
6303401150,2014-09-24,2,8382,125000.0,High Standard
3501100050,2014-12-10,3,4800,125000.0,High Standard
859000110,2014-10-02,1,7440,125000.0,High Standard
7140800100,2014-10-14,3,7276,125000.0,High Standard
1352300990,2014-08-26,1,4400,126000.0,High Standard
723049530,2015-05-05,3,12212,126500.0,High Standard
421049114,2014-10-09,3,11117,128000.0,High Standard
1898700050,2015-04-28,3,9690,128000.0,High Standard
8651411260,2014-11-13,2,5393,128000.0,High Standard
7116000350,2014-07-18,3,7004,128750.0,High Standard
6146600175,2014-11-07,2,5240,129000.0,High Standard
87000213,2014-06-13,2,30184,129000.0,High Standard
2722059292,2014-06-04,1,15364,129000.0,High Standard
4337600205,2014-11-12,2,9900,129888.0,High Standard
13001215,2015-03-05,3,5100,130000.0,High Standard
2500600289,2015-04-16,2,7500,130000.0,High Standard
9272202260,2014-09-24,3,7000,130000.0,High Standard
41000454,2014-08-15,2,9000,130000.0,High Standard
1238500451,2015-02-09,3,7520,130000.0,High Standard
2354300456,2015-03-11,2,1500,130000.0,High Standard
7973202712,2015-03-24,2,5300,130000.0,High Standard
6450302546,2014-10-21,2,6654,130000.0,High Standard
4014400237,2014-05-23,3,10500,132500.0,High Standard
6303401050,2015-02-20,3,8573,132500.0,High Standard
8651402750,2015-02-18,3,5200,132825.0,High Standard
7129304540,2014-12-20,5,5600,133000.0,High Standard
1697000400,2015-03-30,3,9115,133000.0,High Standard
9320901250,2014-09-10,3,2550,133400.0,High Standard
3361402041,2014-10-30,3,8508,134000.0,High Standard
5061300030,2014-05-08,2,5000,134000.0,High Standard
179001101,2015-01-05,3,3000,135000.0,High Standard
7335400345,2014-05-28,2,6685,135000.0,High Standard
985001015,2014-06-04,1,13062,135000.0,High Standard
723049158,2015-03-13,4,18599,135000.0,High Standard
2522069064,2014-10-27,2,7250,135000.0,High Standard
3361400980,2015-05-12,2,6120,135000.0,High Standard
